,District Totals,18 352,57 284
,Percent,"24,3%","75,7%"
,State Assembly District 5,,
,Los Angeles,13 903,37 129
,District Totals,13 903,37 129
,Percent,"27,2%","72,8%"
,State Assembly District 5,,
,Los Angeles,16 365,47 126
,District Totals,16 365,47 126
,Percent,"25,8%","74,2%"
,State Assembly District 5,,
,Los Angeles,25 540,70 734
,District Totals,25 540,70 734
,Percent,"26,5%","73,5%"
,State Assembly District 6,,
,Los Angeles,20 131,56 728
,District Totals,20 131,56 728
,Percent,"26,2%","73,8%"
,State Assembly District 6,,
,Los Angeles,2 038,5 659
,San Bernardino,11 833,38 370
,District Totals,13 871,44 029
,Percent,"24,0%","76,0%"
,State Assembly District 6,,
,San Bernardino,13 201,33 957
,District Totals,13 201,33 957
,Percent,"28,0%","72,0%"
,State Assembly District 6,,
,San Bernardino,22 487,69 790
,District Totals,22 487,69 790
,Percent,"24,4%","75,6%"
,State Assembly District 6,,
,Riverside,19 656,57 722
,District Totals,19 656,57 722
,Percent,"25,4%","74,6%"
,State Assembly District 6,,
,Riverside,13 327,42 053
,San Bernardino,7 565,25 188
,District Totals,20 892,67 241
,Percent,"23,7%","76,3%"
,State Assembly District 6,,
,Riverside,22 330,77 109
,San Diego,4 774,21 403
,District Totals,27 104,98 512
,Percent,"21,6%","78,4%"
,State Assembly District 6,,
,Orange,28 294,81 068
,District Totals,28 294,81 068
,Percent,"25,9%","74,1%"
,State Assembly District 6,,
,Orange,18 572,51 065
,District Totals,18 572,51 065
,Percent,"26,7%","73,3%"
,State Assembly District 6,,
,Orange,10 167,25 424
,District Totals,10 167,25 424
,Percent,"28,6%","71,4%"
,State Assembly District 7,,
,Orange,34 008,85 375
,District Totals,34 008,85 375
,Percent,"28,5%","71,5%"
,State Assembly District 7,,
,Orange,33 428,102 918
,District Totals,33 428,102 918
,Percent,"24,5%","75,5%"
,State Assembly District 7,,
,Orange,23 038,75 975
,District Totals,23 038,75 975
,Percent,"23,3%","76,7%"
,State Assembly District 7,,
,Orange,18 648,51 194
,San Diego,8 798,32 158
,District Totals,27 446,83 352
,Percent,"24,8%","75,2%"
,State Assembly District 7,,
,San Diego,22 560,84 447
,District Totals,22 560,84 447
,Percent,"21,1%","78,9%"
,State Assembly District 7,,
,San Diego,23 095,96 646
,District Totals,23 095,96 646
,Percent,"19,3%","80,7%"
,State Assembly District 7,,
,San Diego,21 692,69 625
,District Totals,21 692,69 625
,Percent,"23,8%","76,2%"
,State Assembly District 7,,
,San Diego,19 050,70 198
,District Totals,19 050,70 198
,Percent,"21,3%","78,7%"
,State Assembly District 7,,
,San Diego,23 901,72 511
,District Totals,23 901,72 511
,Percent,"24,8%","75,2%"
,State Assembly District 7,,
,San Diego,10 943,33 734
,District Totals,10 943,33 734
,Percent,"24,5%","75,5%"
,State Assembly District 8,,
,Imperial,4 460,14 557
,Riverside,15 695,48 348
,District Totals,20 155,62 905
,Percent,"24,3%","75,7%"
