,Inyo,1 504,4 399
,Kern,5 732,20 510
,San Bernardino,13 445,43 609
,District Totals,20 681,68 518
,Percent,"23,2%","76,8%"
,State Assembly District 3,,
,Santa Barbara,20 633,46 878
,Ventura,12 589,32 377
,District Totals,33 222,79 255
,Percent,"29,5%","70,5%"
,State Assembly District 3,,
,Los Angeles,22 934,71 584
,District Totals,22 934,71 584
,Percent,"24,3%","75,7%"
,State Assembly District 3,,
,Ventura,24 556,68 136
,District Totals,24 556,68 136
,Percent,"26,5%","73,5%"
,State Assembly District 3,,
,Los Angeles,18 816,38 816
,Ventura,11 064,30 595
,District Totals,29 880,69 411
,Percent,"30,1%","69,9%"
,State Assembly District 3,,
,Los Angeles,14 017,29 913
,District Totals,14 017,29 913
,Percent,"31,9%","68,1%"
,State Assembly District 4,,
,Los Angeles,24 451,40 073
,District Totals,24 451,40 073
,Percent,"37,9%","62,1%"
,State Assembly District 4,,
,Los Angeles,46 024,63 981
,District Totals,46 024,63 981
,Percent,"41,8%","58,2%"
,State Assembly District 4,,
,Los Angeles,46 639,45 328
,District Totals,46 639,45 328
,Percent,"50,7%","49,3%"
,State Assembly District 4,,
,Los Angeles,26 494,49 385
,District Totals,26 494,49 385
,Percent,"34,9%","65,1%"
,State Assembly District 4,,
,Los Angeles,33 648,66 810
,District Totals,33 648,66 810
,Percent,"33,5%","66,5%"
,State Assembly District 4,,
,Los Angeles,17 135,26 498
,District Totals,17 135,26 498
,Percent,"39,3%","60,7%"
,State Assembly District 4,,
,Los Angeles,8 240,14 661
,District Totals,8 240,14 661
,Percent,"36,0%","64,0%"
,State Assembly District 4,,
,Los Angeles,36 556,42 057
,District Totals,36 556,42 057
,Percent,"46,5%","53,5%"
,State Assembly District 4,,
,Los Angeles,16 433,19 293
,District Totals,16 433,19 293
,Percent,"46,0%","54,0%"
,State Assembly District 4,,
,Los Angeles,17 402,36 006
,District Totals,17 402,36 006
,Percent,"32,6%","67,4%"
,State Assembly District 5,,
,Los Angeles,8 472,23 775
,District Totals,8 472,23 775
,Percent,"26,3%","73,7%"
,State Assembly District 5,,
,Los Angeles,22 498,35 653
,District Totals,22 498,35 653
,Percent,"38,7%","61,3%"
,State Assembly District 5,,
,Los Angeles,16 865,26 523
,District Totals,16 865,26 523
,Percent,"38,9%","61,1%"
,State Assembly District 5,,
,Los Angeles,34 756,69 542
,District Totals,34 756,69 542
,Percent,"33,3%","66,7%"
,State Assembly District 5,,
,Los Angeles,27 983,65 606
,District Totals,27 983,65 606
,Percent,"29,9%","70,1%"
,State Assembly District 5,,
,Los Angeles,18 536,31 305
,District Totals,18 536,31 305
,Percent,"37,2%","62,8%"
,State Assembly District 5,,
,Los Angeles,19 733,57 202
,District Totals,19 733,57 202
,Percent,"25,6%","74,4%"
,State Assembly District 5,,
,Los Angeles,15 075,36 747
,District Totals,15 075,36 747
,Percent,"29,1%","70,9%"
,State Assembly District 5,,
,Los Angeles,17 711,46 823
,District Totals,17 711,46 823
,Percent,"27,4%","72,6%"
,State Assembly District 5,,
,Los Angeles,27 522,71 064
,District Totals,27 522,71 064
,Percent,"27,9%","72,1%"
,State Assembly District 6,,
,Los Angeles,21 635,56 959
,District Totals,21 635,56 959
,Percent,"27,5%","72,5%"
,State Assembly District 6,,
,Los Angeles,2 226,5 568
,San Bernardino,12 441,38 133
,District Totals,14 667,43 701
,Percent,"25,1%","74,9%"
,State Assembly District 6,,
,San Bernardino,14 267,33 180
,District Totals,14 267,33 180
,Percent,"30,1%","69,9%"
,State Assembly District 6,,
,San Bernardino,23 862,69 248
,District Totals,23 862,69 248
,Percent,"25,6%","74,4%"
,State Assembly District 6,,
,Riverside,19 748,55 232
,District Totals,19 748,55 232
,Percent,"26,3%","73,7%"
,State Assembly District 6,,
,Riverside,14 457,41 171
,San Bernardino,8 297,24 753
,District Totals,22 754,65 924
,Percent,"25,7%","74,3%"
,State Assembly District 6,,
,Riverside,23 005,74 815
,San Diego,5 140,21 215
,District Totals,28 145,96 030
,Percent,"22,7%","77,3%"
,State Assembly District 6,,
,Orange,30 467,80 414
,District Totals,30 467,80 414
,Percent,"27,5%","72,5%"
,State Assembly District 6,,
,Orange,20 611,49 631
,District Totals,20 611,49 631
,Percent,"29,3%","70,7%"
,State Assembly District 6,,
,Orange,11 544,24 298
,District Totals,11 544,24 298
,Percent,"32,2%","67,8%"
,State Assembly District 7,,
,Orange,37 061,84 047
,District Totals,37 061,84 047
,Percent,"30,6%","69,4%"
,State Assembly District 7,,
,Orange,35 273,102 662
,District Totals,35 273,102 662
,Percent,"25,6%","74,4%"
,State Assembly District 7,,
,Orange,24 453,75 597
,District Totals,24 453,75 597
,Percent,"24,4%","75,6%"
,State Assembly District 7,,
,Orange,20 161,50 670
,San Diego,9 572,31 688
,District Totals,29 733,82 358
,Percent,"26,5%","73,5%"
,State Assembly District 7,,
,San Diego,25 118,83 010
,District Totals,25 118,83 010
,Percent,"23,2%","76,8%"
,State Assembly District 7,,
,San Diego,25 280,95 121
,District Totals,25 280,95 121
,Percent,"21,0%","79,0%"
,State Assembly District 7,,
,San Diego,24 062,67 725
,District Totals,24 062,67 725
,Percent,"26,2%","73,8%"
,State Assembly District 7,,
,San Diego,21 214,68 609
,District Totals,21 214,68 609
,Percent,"23,6%","76,4%"
,State Assembly District 7,,
,San Diego,26 892,70 257
,District Totals,26 892,70 257
,Percent,"27,7%","72,3%"
,State Assembly District 7,,
,San Diego,12 041,32 569
,District Totals,12 041,32 569
,Percent,"27,0%","73,0%"
,State Assembly District 8,,
,Imperial,4 733,14 325
,Riverside,16 630,47 860
,District Totals,21 363,62 185
,Percent,"25,6%","74,4%"
