,Turnout,,,Referendum Measure No. 90,,Advisory Vote No. 32,,Advisory Vote No. 33,,Advisory Vote No. 34,,Advisory Vote No. 35,,ESJR No. 8212,,President/Vice President,,,,,,,Governor,,,Lt. Governor,,,Secretary of State,,,State Treasurer,,,State Auditor,,,Attorney General,,,"Commissioner of 
Public Lands",,,"Superintendent of 
Public Instruction",,,Insurance Commissioner,,,"Supreme Ct. 
Justice Pos. 3",,,Supreme Ct. Justice Pos. 4,,"Supreme Ct. 
Justice Pos. 6",,,Supreme Ct. Justice Pos. 7,
Legislative District 10,111 652,96 776,"86,7%",47 507,45 657,58 747,30 958,58 634,30 570,59 969,28 283,52 903,35 956,36 914,52 297,49 457,43 329,2 150,351,83,44,657,47 186,48 106,287,37 366,24 404,22 796,54 802,38 167,106,43 922,48 016,82,46 853,44 660,69,45 631,47 301,93,46 110,45 627,96,42 712,40 268,403,53 971,35 175,512,40 707,41 821,281,62 521,1 700,28 832,49 628,449,62 168,1 595
Legislative District 11,89 463,72 288,"80,8%",47 094,21 460,37 294,29 075,34 072,31 530,35 364,29 747,31 618,34 015,32 872,32 832,50 475,19 212,1 113,319,91,46,466,49 641,20 958,218,31 518,25 022,7 266,29 227,39 349,86,44 639,23 268,51,47 562,20 080,48,47 356,21 309,55,46 824,20 776,52,35 153,27 311,258,50 697,16 070,236,20 676,40 807,209,51 329,875,16 643,43 091,299,51 134,845
Legislative District 12,93 009,79 217,"85,2%",34 001,40 885,52 562,21 783,52 560,20 982,53 610,19 514,46 925,26 580,26 716,46 697,33 648,42 869,1 237,275,71,44,491,31 240,46 678,318,25 959,16 866,26 274,50 043,26 105,73,29 638,45 722,48,31 928,43 229,49,31 579,44 348,83,32 502,42 955,59,33 678,34 322,358,37 910,34 770,389,34 600,31 626,259,50 947,1 222,27 911,35 569,354,51 528,1 134
Legislative District 13,84 351,70 022,"83,0%",25 284,41 452,50 851,14 967,50 722,14 855,50 994,13 955,45 466,19 493,20 470,44 912,24 302,43 145,1 333,224,71,35,399,22 223,46 705,223,21 114,14 664,24 139,48 304,19 061,91,21 573,45 211,65,23 561,42 871,64,23 177,43 903,78,23 014,43 541,59,27 557,32 485,285,28 998,35 162,363,34 156,24 556,174,47 677,939,27 346,29 224,258,47 558,907
Legislative District 14,86 902,69 841,"80,4%",31 554,34 903,47 868,17 769,47 122,17 754,47 650,16 828,41 723,23 019,23 422,41 360,30 673,36 693,1 103,233,80,49,419,29 262,39 302,213,24 872,17 624,16 594,42 011,24 744,84,27 277,39 170,56,29 717,36 491,56,29 365,37 393,82,28 631,37 708,62,30 735,29 414,403,34 241,30 307,317,30 942,28 832,244,47 716,1 146,24 545,32 791,366,47 627,1 071
Legislative District 15,66 014,48 489,"73,5%",21 706,24 921,34 667,11 218,33 689,11 775,33 927,11 341,29 645,15 767,15 941,29 324,22 124,24 801,704,166,89,46,195,21 202,26 468,121,17 411,13 572,11 251,27 953,18 480,42,20 229,26 044,26,21 569,24 512,34,21 561,24 951,31,21 103,25 087,25,20 483,22 825,177,24 714,20 734,162,22 302,21 013,124,36 560,732,18 704,22 944,198,36 562,664
Legislative District 16,77 960,63 144,"81,0%",25 616,35 284,44 232,15 009,43 445,15 374,44 087,14 202,39 716,19 002,19 897,38 780,25 180,35 353,1 369,201,91,34,338,24 209,37 815,186,20 944,15 745,17 069,40 633,19 839,62,22 006,38 250,54,24 893,35 188,38,24 372,36 235,64,23 750,36 411,52,25 797,29 827,272,29 124,29 544,266,29 755,24 850,180,45 317,851,23 492,28 668,283,44 825,795
Legislative District 17,104 127,87 351,"83,9%",45 421,34 850,54 628,25 744,52 628,26 794,53 714,24 860,46 896,31 857,31 536,48 522,43 637,40 468,1 727,340,73,42,602,43 066,42 372,234,32 679,24 979,16 805,47 015,35 721,91,38 835,43 506,77,41 993,40 036,82,41 294,41 199,78,40 365,41 414,101,34 422,36 971,556,46 657,33 042,382,30 951,39 847,422,56 998,1 659,25 426,43 408,562,57 600,1 510
Legislative District 18,115 185,101 214,"87,9%",48 843,44 465,64 359,28 793,62 722,29 315,64 424,26 522,56 068,35 253,38 513,54 375,47 030,50 547,1 835,308,68,42,729,45 785,53 508,221,36 683,26 312,22 413,58 913,36 978,84,40 430,54 876,82,44 605,50 292,70,43 628,51 979,82,42 713,52 097,101,40 393,41 654,570,50 755,40 696,523,37 953,43 451,398,63 794,1 824,30 418,48 277,550,64 035,1 701
Legislative District 19,92 751,76 034,"82,0%",33 094,40 223,54 706,17 106,53 477,18 018,54 162,16 718,47 789,23 407,22 334,48 733,33 132,40 057,1 493,322,64,62,361,31 183,43 678,238,31 024,16 304,18 838,45 293,27 506,102,31 345,40 941,82,33 180,38 971,75,32 386,40 339,77,31 456,40 695,77,32 490,32 334,481,38 180,32 253,283,32 462,31 272,416,52 537,1 456,26 661,35 336,485,52 801,1 402
Legislative District 20,103 227,87 255,"84,5%",30 485,53 766,66 527,16 361,65 643,16 863,66 258,15 582,59 213,22 930,23 306,58 558,28 956,54 990,1 790,340,79,41,463,27 255,58 868,234,29 550,16 314,30 060,61 055,22 753,144,26 873,56 303,83,28 695,54 209,84,27 835,55 905,115,27 542,55 483,106,33 781,40 650,558,36 006,44 635,487,42 980,29 865,395,58 248,1 569,35 996,34 531,504,58 552,1 498
Legislative District 21,98 061,83 575,"85,2%",51 613,28 795,44 792,32 970,41 785,34 669,44 008,32 221,39 533,37 415,38 113,39 410,55 372,24 976,1 525,368,94,46,581,53 754,28 237,291,33 055,30 906,11 539,38 569,41 550,84,48 374,31 009,66,51 641,27 324,70,51 193,29 036,71,51 117,28 036,71,41 106,32 363,278,56 689,21 277,328,28 740,44 182,243,61 015,1 298,21 590,48 791,370,61 094,1 116
Legislative District 22,112 393,95 281,"84,8%",59 749,31 917,47 453,41 231,44 862,42 390,46 730,39 821,39 395,48 000,44 147,44 007,62 311,28 830,1 963,630,206,69,662,61 009,32 436,338,49 377,25 394,12 002,49 170,42 541,103,54 915,35 648,84,60 336,30 235,72,59 256,32 383,115,58 731,31 516,149,51 250,34 130,491,66 977,22 877,360,28 062,54 825,395,68 206,1 561,22 477,58 738,498,68 877,1 483
Legislative District 23,106 338,90 342,"85,0%",54 942,32 122,47 087,37 493,46 167,36 981,47 248,35 155,41 250,41 893,40 539,43 017,56 406,29 815,2 448,380,74,50,581,55 186,33 696,257,40 271,26 833,12 347,43 881,42 996,92,50 136,35 970,80,53 695,32 061,85,53 202,33 651,93,52 673,33 414,86,44 244,33 551,356,58 645,25 167,395,27 345,50 055,293,62 043,1 495,21 678,54 069,411,62 077,1 360
Legislative District 24,112 030,95 945,"85,6%",49 744,41 526,56 532,32 275,55 922,31 842,56 532,30 413,49 638,38 214,37 384,51 137,51 330,41 150,1 614,500,114,73,471,50 358,44 342,202,43 015,23 003,17 688,50 812,41 948,98,47 782,44 116,66,50 477,41 228,68,49 449,42 977,83,49 226,42 496,66,44 432,37 192,375,56 147,32 827,726,35 549,45 565,261,64 564,1 333,26 832,51 496,360,64 860,1 107
Legislative District 25,98 284,81 075,"82,5%",38 331,40 202,54 662,21 924,52 503,23 514,53 716,21 504,47 442,27 959,27 613,47 358,40 299,37 260,1 897,343,89,60,563,38 158,41 547,301,35 735,18 213,19 178,46 885,30 934,90,36 409,40 552,78,39 523,37 342,72,37 552,40 127,83,37 920,38 818,82,33 556,36 582,373,44 826,30 378,403,34 431,34 491,302,57 664,1 534,26 704,40 272,460,57 586,1 444
Legislative District 26,108 759,93 338,"85,8%",45 719,44 811,59 139,29 138,58 007,29 319,59 516,26 925,52 892,34 025,34 884,51 762,47 219,41 729,2 513,389,74,59,698,45 117,46 729,315,39 232,23 373,19 824,54 364,35 581,110,41 810,47 177,82,45 637,43 077,80,43 942,45 880,95,44 112,44 731,99,40 471,39 777,435,52 588,33 915,540,36 852,42 198,330,63 630,2 151,28 790,48 270,495,63 751,1 870
Legislative District 27,95 771,79 389,"82,9%",51 879,24 839,39 824,34 773,37 847,35 940,39 297,33 632,33 571,39 635,37 003,36 133,55 161,20 913,1 559,468,143,51,597,53 706,24 154,337,39 422,24 428,9 111,33 400,43 027,88,49 965,25 707,76,53 820,21 789,87,52 393,23 945,103,52 350,23 117,94,39 807,30 035,321,56 805,17 578,264,23 081,46 031,277,57 842,1 115,17 839,49 671,379,57 883,1 035
Legislative District 28,90 643,73 440,"81,0%",40 359,30 594,45 310,23 688,42 667,25 639,44 232,23 362,38 138,29 699,30 204,37 490,42 010,28 026,1 784,316,87,50,609,40 730,31 181,307,35 665,18 019,12 912,38 955,31 609,81,37 480,32 365,79,41 273,28 567,76,39 442,31 016,76,39 468,30 180,84,31 891,32 699,307,44 947,23 501,334,27 348,36 089,264,53 600,1 207,21 359,40 563,381,53 431,1 084
Legislative District 29,82 472,61 200,"74,2%",34 633,24 503,40 222,17 796,37 972,19 643,37 926,19 165,32 724,24 447,21 887,34 969,35 822,22 629,1 476,392,117,77,385,34 793,25 214,243,29 024,16 708,10 126,28 881,29 922,97,33 704,24 639,71,35 535,22 730,82,34 479,24 166,81,34 326,23 781,88,24 391,29 388,331,38 082,19 263,306,22 941,30 463,313,46 104,1 206,18 646,33 670,377,46 212,1 101
Legislative District 30,84 706,66 744,"78,8%",36 579,27 179,41 867,20 238,38 649,22 868,40 074,21 061,35 648,25 783,25 735,35 675,39 520,24 741,1 181,292,79,42,371,38 524,26 873,210,30 115,18 395,10 832,33 087,30 704,85,36 680,26 781,44,37 709,25 343,40,37 055,26 687,54,37 018,26 016,46,28 297,30 142,250,41 578,20 608,292,27 388,30 696,190,47 646,1 181,20 782,35 125,295,47 574,1 057
Legislative District 31,107 641,91 305,"84,8%",39 679,48 649,63 538,22 720,61 215,24 470,63 103,21 768,57 296,27 902,29 742,54 876,41 303,46 447,1 902,336,45,45,585,38 109,51 889,285,36 016,21 073,24 566,57 801,30 013,77,36 427,50 383,57,39 458,47 037,47,37 511,49 989,83,38 158,48 369,67,38 274,41 209,391,47 343,37 213,537,41 603,36 113,315,63 163,1 969,32 164,43 042,481,63 024,1 861
Legislative District 32,98 892,85 336,"86,3%",58 663,22 990,37 573,41 012,34 632,42 686,36 921,39 896,31 991,45 599,43 990,34 329,63 882,18 385,1 217,451,113,49,623,62 664,21 059,220,36 379,32 637,7 910,33 164,48 587,81,55 700,25 179,53,60 010,20 575,54,59 950,22 029,49,59 413,21 342,57,47 644,27 449,267,64 125,15 522,264,22 771,51 197,179,60 463,1 066,17 372,54 405,281,60 354,943
Legislative District 33,83 210,65 502,"78,7%",40 697,21 399,36 469,23 729,33 191,26 383,34 539,24 516,30 556,28 949,28 326,31 263,44 662,18 465,1 037,310,90,51,341,43 754,20 267,198,30 938,20 094,6 892,27 616,34 749,75,39 874,21 894,51,42 264,19 274,52,42 074,20 323,50,41 621,19 851,52,30 338,26 079,273,45 477,15 253,260,21 049,34 604,207,46 019,926,16 387,37 529,262,45 981,790
Legislative District 34,109 110,94 975,"87,0%",72 806,18 064,34 246,53 306,31 279,55 137,33 549,51 964,29 260,57 182,55 249,32 030,77 869,14 243,1 120,413,136,63,519,76 155,16 922,253,41 343,39 354,4 911,31 018,60 001,97,67 970,22 046,85,72 925,16 811,81,73 063,18 174,88,72 711,17 263,86,58 028,25 007,293,76 337,12 442,222,17 451,64 410,239,66 055,877,13 425,66 605,301,65 813,791
Legislative District 35,104 742,88 908,"84,9%",42 137,43 918,59 206,25 038,58 001,25 390,59 146,23 619,51 486,31 700,31 103,52 276,42 694,42 326,2 204,430,86,54,556,40 823,46 839,289,39 375,19 989,19 716,54 931,30 753,129,38 304,46 415,107,41 741,42 793,99,40 288,45 368,98,40 519,44 038,115,39 701,37 120,594,49 509,33 294,474,36 378,38 757,483,60 041,1 985,28 131,44 918,649,60 350,1 898
Legislative District 36,122 274,109 793,"89,8%",92 576,13 017,28 162,73 042,26 059,73 553,29 315,69 381,25 431,74 299,73 032,28 045,96 778,9 714,1 300,559,156,62,617,94 908,12 862,281,46 947,50 039,3 136,30 112,75 206,98,82 781,21 501,61,90 338,13 603,60,90 338,15 195,87,90 175,14 055,61,74 929,21 965,246,93 219,9 744,182,14 404,81 430,193,78 225,804,10 722,83 470,249,77 195,712
Legislative District 37,104 883,86 286,"82,3%",69 747,12 569,27 164,52 335,24 401,54 075,25 675,52 270,21 841,56 789,53 872,25 432,74 478,9 303,650,502,193,79,463,74 445,9 947,210,35 989,40 370,2 352,20 283,62 044,106,67 912,13 921,58,71 345,10 238,53,71 823,10 795,89,71 023,10 560,68,54 416,22 084,229,72 453,8 542,153,13 267,62 568,190,60 275,918,11 105,63 306,245,59 951,751
Legislative District 38,87 957,71 255,"81,0%",39 232,29 694,43 683,23 573,41 493,24 666,42 990,23 135,38 266,28 356,26 647,40 072,41 500,26 583,1 647,397,128,56,505,39 616,30 492,280,29 059,21 858,13 588,35 490,33 173,87,37 973,30 140,70,39 765,28 082,78,38 999,29 761,84,39 072,28 910,93,32 653,30 776,336,44 204,22 809,337,28 864,34 165,263,52 722,1 556,21 696,39 091,370,52 998,1 371
Legislative District 39,102 166,86 029,"84,2%",36 587,46 763,60 228,21 002,59 544,20 857,60 255,19 747,53 991,26 445,25 877,54 392,37 249,44 753,2 277,388,111,63,596,34 385,50 439,312,29 346,20 817,25 715,53 622,28 971,110,33 953,47 867,76,35 590,45 913,60,34 325,48 340,72,34 774,47 011,88,35 291,39 882,467,42 862,36 721,520,41 718,32 927,311,59 402,2 177,31 059,40 245,479,59 443,1 990
Legislative District 40,104 336,92 471,"88,6%",59 814,29 228,41 788,42 850,41 808,42 012,42 824,39 746,37 770,45 580,45 692,38 380,62 390,26 438,1 657,484,153,61,629,61 162,29 846,230,35 915,31 859,13 731,38 128,50 521,95,56 232,31 425,56,59 318,27 979,67,58 854,29 546,74,58 212,29 259,75,47 579,31 963,298,63 659,21 184,314,27 010,52 880,190,60 828,1 180,17 838,56 560,365,60 756,1 165
Legislative District 41,103 844,90 205,"86,9%",60 260,25 075,41 097,40 408,37 666,42 603,41 485,38 053,37 085,43 224,49 358,31 761,63 836,22 942,1 368,314,55,24,705,62 206,25 766,291,43 853,26 175,8 398,42 472,42 958,72,50 233,34 224,49,57 612,26 321,42,57 455,28 047,67,57 028,27 047,46,49 891,26 707,249,62 893,19 909,269,23 898,51 203,170,61 158,801,18 090,54 734,230,60 033,723
Legislative District 42,109 764,95 621,"87,1%",49 031,43 583,55 072,34 814,54 931,34 215,56 193,31 967,50 321,38 393,49 733,39 391,50 694,41 146,1 779,443,104,60,668,49 336,44 850,302,33 602,25 340,28 324,50 335,42 406,129,47 041,44 763,55,49 154,42 438,43,48 389,43 729,67,47 789,43 824,60,41 166,43 564,242,55 602,31 884,503,40 424,45 514,147,64 751,1 705,26 103,50 246,540,64 628,1 412
Legislative District 43,115 478,101 215,"87,6%",89 062,8 450,20 736,72 381,19 544,72 009,21 396,69 391,18 600,73 172,71 069,22 450,91 614,6 417,1 029,651,291,70,544,90 781,8 544,251,39 467,51 624,1 885,24 047,73 114,98,80 454,15 934,64,86 867,9 171,74,87 202,10 168,64,86 776,9 616,68,71 452,18 207,192,88 683,6 839,147,10 467,78 901,169,70 724,958,8 132,79 765,231,70 343,791
Legislative District 44,107 181,92 814,"86,6%",47 851,42 252,56 745,30 795,54 412,31 697,56 996,28 874,51 840,34 675,36 525,50 236,51 636,37 069,2 176,399,76,46,735,48 565,42 788,354,35 226,27 528,20 940,50 981,38 297,92,45 237,43 156,65,48 212,39 786,77,46 855,42 465,82,47 277,40 930,71,42 737,39 878,326,55 749,30 877,455,38 005,43 325,249,67 617,1 806,29 137,49 217,407,67 643,1 692
Legislative District 45,102 098,90 413,"88,6%",58 168,28 282,43 150,39 817,40 715,41 165,43 453,37 668,38 839,43 030,46 976,35 652,62 921,23 729,1 722,315,65,23,743,60 698,27 655,344,38 339,30 410,11 269,42 164,44 142,73,51 228,34 116,39,57 323,27 630,37,56 766,29 482,57,56 382,28 607,45,48 470,29 652,198,63 073,20 432,314,24 901,51 373,147,61 430,875,18 380,55 204,215,61 284,756
Legislative District 46,109 303,97 385,"89,1%",77 126,16 347,29 720,59 515,27 293,60 562,29 967,57 060,25 804,62 219,61 527,27 931,82 192,11 908,1 219,537,160,47,621,80 722,14 728,309,43 647,40 540,4 639,33 218,60 180,77,69 670,22 727,40,77 086,14 945,46,77 313,16 481,51,76 663,15 814,39,64 129,22 061,207,80 638,10 831,204,16 049,68 911,137,67 083,979,12 486,70 593,186,66 630,806
Legislative District 47,94 452,76 614,"81,1%",41 356,31 953,48 294,23 175,44 944,25 877,46 538,23 755,42 109,28 633,29 340,41 179,44 286,29 414,1 388,300,70,54,455,43 014,32 094,204,33 358,20 869,13 631,40 271,32 942,85,39 218,33 318,46,42 026,30 277,42,41 082,32 072,61,40 976,31 290,56,33 238,33 753,264,46 964,24 170,337,29 865,36 041,218,53 852,1 318,23 571,40 082,335,53 689,1 275
Legislative District 48,87 654,75 029,"85,6%",50 577,20 546,33 183,35 005,30 547,36 536,33 265,33 175,29 601,37 484,40 510,27 467,53 699,18 252,1 292,338,73,19,629,52 722,20 345,255,33 151,25 550,6 974,33 278,37 852,61,43 493,26 814,45,49 272,20 703,44,49 118,21 944,61,48 495,21 582,47,40 495,23 319,221,53 479,15 517,249,19 480,43 309,153,50 981,726,14 726,46 004,211,50 816,634
Legislative District 49,94 866,78 621,"82,9%",47 037,24 796,43 785,27 799,42 203,28 389,43 353,26 394,36 820,33 210,31 201,40 483,46 577,28 843,1 595,453,91,51,574,46 376,30 373,245,32 039,24 617,11 185,35 733,38 400,136,41 479,32 244,104,44 790,28 690,108,44 372,29 602,121,43 424,29 854,106,33 670,30 257,532,47 782,23 873,330,22 897,40 964,432,51 616,1 564,18 820,43 396,510,51 935,1 445
Statewide Total,4 892 871,4 116 894,"84,1%",2 283 630,1 665 906,2 350 996,1 488 767,2 262 993,1 533 746,2 334 609,1 430 112,2 064 701,1 725 885,1 738 080,2 069 809,2 369 612,1 584 651,80 500,18 289,4 840,2 487,27 252,2 294 243,1 749 066,13 145,1 658 405,1 218 548,759 076,2 116 141,1 826 710,4 666,2 089 159,1 818 895,3 339,2 260 830,1 633 956,3 316,2 226 418,1 714 927,3 968,2 212 158,1 686 320,3 799,1 955 365,1 609 643,17 957,2 506 693,1 308 292,18 576,1 462 764,2 057 623,13 661,2 850 924,66 407,1 140 338,2 263 513,19 416,2 852 879,60 808
